memberUrn,companyName
104042335,"Starwood Hotels & Resorts Worldwide, Inc."
104042335,"Starwood Hotels & Resorts Worldwide, Inc."
104042335,"Starwood Hotels & Resorts Worldwide, Inc."
104042335,"Starwood Hotels & Resorts Worldwide, Inc."
104042335,"Starwood Hotels & Resorts Worldwide, Inc."
10405018,Commonwealth Bank
10405018,Nedbank
10405018,FNB South Africa
10405018,Advantage Asset Managers
10405018,IQBG Inc
10405018,RMB Asset Management
10405018,Westpac
104051395,Monash University
104051395,Alfred Health
104051395,Austin Health
104060553,Health Careers International Pty Ltd
104093302,Engineers Without Borders Australia
104093302,Royal Australian Navy
104093302,Airbus
104093304,Sydney Water
104093304,Halifax Harbour Bridges
104093304,Sydney Water
104093304,Sydney Water
104093601,Sydney Catholic Schools
104093601,Hewlett Packard Enterprise
104093601,Camden Council NSW Australia
104093601,Camden Council NSW Australia
104117938,Lifestyle Solutions (Aust) Ltd.
104117938,Woolworths Supermarkets
104117938,St Simeon Village
104119968,UNSW
104119968,UNSW
104119968,UNSW
104119968,UNSW
104145821,DARACON Group
104145821,DARACON Group
104145821,Ausenco
104145821,Glencore Zinc
104153193,Insight Data Solutions
104153193,CoreLogic Australia
104153193,CoreLogic Australia
104153193,CoreLogic Australia
104153193,MinterEllison
10427721,Tourism Tribe
10427721,Digital Coaching International
10427721,Tourism and Events Queensland
10427721,Australian Tourism Data Warehouse (ATDW)
10427721,Tourism and Events Queensland
10427721,Tourism Tribe
104288928,Baker McKenzie
104288928,Baker McKenzie
104288928,Baker McKenzie
104288928,Baker McKenzie
104288928,Herbert Smith Freehills
104288928,Accenture
10430230,Deakin University
10430230,Deakin University
10430230,Victorian Curriculum and Assessment Authority
10430230,Deakin University
10430230,Trinity College Dublin
104321892,Australian Trade and Investment Commission (Austrade)
104321892,IBM
104321892,IBM
104321892,IBM
104330618,Shine Solutions Group
104330618,National Australia Bank
104330618,Medibank
104330618,Shine Solutions Group
104330618,CSIRO
104330618,Shine Solutions Group
104330618,Shine Solutions Group
104358888,Avant Mutual
104358888,Avant Mutual
104358888,Avant Mutual
104358888,UNITED MEDICAL PROTECTION LIMITED
104358888,UNITED MEDICAL PROTECTION LIMITED
104358888,Commonwealth Bank
104358888,Commonwealth Bank
104358888,"Colonial Insurance Services, Inc."
104358888,Legal & General
104384883,ULA Group
104384883,National Media
104384883,InterContinental Hotels Group (IHG®)
104384883,Exhibitions & Trade Fairs
104384883,Exhibitions & Trade Fairs
104384883,Exhibitions & Trade Fairs
104384883,Broadbeach Alliance
104384883,Gold Coast Convention and Exhibition Centre
104404690,Bold Artist Management
104404690,Contractor - Independent
104404690,CPM Australia
104404690,Telstra Wholesale
104404690,Cotton On Group
10447893,AutoGuru
10447893,Guerrilla
10447893,brand karma
10447893,isntmedia PTY LTD
10449357,Commonwealth Bank
10449357,Commonwealth Bank
10449357,Commonwealth Bank
10449357,IBM
10449357,IBM
104538536,Leadership Resilience Group
104538536,Swinburne University of Technology
104538536,Integral Development
104538536,Swinburne University of Technology
104546959,BP
104546959,General Mills
104546959,Henkel
104546959,Henkel
104546959,Singapore Airlines
104546959,ASB Bank
104555399,TAFE SA
104555399,University of South Australia
104555399,University of South Australia
104555399,University of South Australia
104555399,University of South Australia
104558213,Interface Rail Engineering
104558213,Jacobs
104558213,Tube Lines
104558213,"Thomas Vale Construction, a Bouygues UK Company"
104595250,K&L Gates
104595250,K&L Gates
104595250,Herbert Geer
104667370,BAE Systems Australia
104667370,BAE Systems Australia
104667370,Downer
104667370,Royal New Zealand Navy
104676327,Sussan
104676327,Terra Firma Business Consulting
104676327,Retail Directions
104676327,Woolworths
104676327,University of Cape Town
104695747,TAFE SA
104695747,Private Practice - Counselling and Consultation
104711977,Monash University
104717163,Peter MacCallum Cancer Centre
104833947,Startup Muster
104833947,AstraZeneca
104833947,Australian Bureau of Statistics
104833947,Groupon
104833947,"Department of Industry, Innovation and Science"
104833947,AIIA
104840947,Australian Catholic University
104840947,Catholic Education Diocese of Parramatta
104840947,Catholic Education Diocese of Parramatta
104840947,Australian Catholic University
104849786,Qantas
104849786,Sydney Trains
104849786,News Corp
104849786,News Corp
104849786,News Digital Media
104849786,News Corp
10486013,GrainCorp
10486013,GrainCorp
10486013,GrainCorp
10486013,GrainCorp
10486013,Lion
10486013,Randstad Australia
10486013,Nokia
10486013,Optus
10486013,BOC UK & Ireland
104873264,Monash University
104873264,Porto Business School
104873264,Universidade do Porto
104873264,Universidade CatÃ³lica Portuguesa - Centro Regional do Porto
104873264,Banco Santander
10488683,NSW Environment Protection Authority (EPA)
10488683,NSW Environment Protection Authority (EPA)
10488683,NSW Environment Protection Authority (EPA)
10488683,APA Group
10488683,Sydney Catchment Authority
10488683,Pfizer
10488683,Pfizer
10488683,AAPT
10488683,Optus
10488775,Visionstream
10488775,Visionstream
10488775,Telstra
10488775,Ericsson
104907519,Davenport Campbell
104907519,Reid Campbell
104907519,M&C Saatchi London
104948,Environment Protection Authority Victoria (EPA)
104948,Mycroft Consulting
104948,ThoughtWorks
104948,Telstra
104980710,First Person Consulting Pty Ltd
104980710,Roberts Evaluation
104980710,Sustainable Living Foundation
104980710,University of Melbourne
104980710,University of Melbourne
104980710,La Trobe University
104980710,University of Wisconsin-La Crosse
105013375,PwC Data and Analytics Delivery
105013375,PwC Data and Analytics Delivery
105013375,Immersive
105013375,Peripheral Computer Industry
105013375,SunGard-Inmatrix
105019771,National Australia Bank
105019771,National Australia Bank
105019771,The Trust Company (now part of Perpetual)
105019771,Woolworths Group
105019771,National Australia Bank
105041144,PepsiCo
105041144,PepsiCo
105041144,PepsiCo
105041144,Diageo
105041144,PwC Australia
105041144,PwC UK
105071721,"Department of Transport, Victoria, Australia"
105071721,"Department of Transport, Victoria, Australia"
105071721,ARTC
105071721,AECOM
105071721,ARTC
105087613,Infinity Community Solutions Ltd.
105087613,Mercy Community
105087613,Churches of Christ in Queensland
105087613,Churches of Christ in Queensland
105103370,University of Melbourne
105103370,OCLC
105103370,Moral Fairground
105103370,Moral Fairground
105103370,University of Melbourne
105103370,I Need Helpers
105103370,I Need Helpers
105103370,I Need Helpers
105103370,I Need Helpers
105103370,University of Tasmania
105103370,Palgrave Macmillan
105146733,Marsh & McLennan Companies
105146733,Mercer
105146733,Mercer
105146733,Pacific Life Re
105152796,BresicWhitney
105152796,BresicWhitney
105152796,Raine & Horne Group
105152796,Deloitte Australia
105152796,EY
105155516,Knight Frank
105155516,Knight Frank
105157837,Cowell Clarke
105170009,Jabodu Pty Limited
105170009,Transport for NSW
105170009,SafeWork NSW
10517815,Christian Super
10517815,Christian Super
10517815,Christian Super
1052706,Aegon Insights
1052706,Aegon
1052706,The Wine Society
1052706,Cellarmasters
1052706,Cellarmasters
1052706,Cellarmasters
1052706,Cellarmasters
1052706,St Andrew's Australia
105319453,Monash University
105319453,Monash University
105319453,Monash University
105319453,Monash University
105319453,Nanyang Technological University
10533509,CommTel Network Solutions
10533509,Radio Access Network
10533509,GRA Networks
10533509,Vodafone
10533509,Huawei Technologies
10533509,Zamro International
10533509,Downer
10533509,Service Stream
10533509,Vodafone
10533509,Vodafone
10533509,Vodafone
10533509,Vodafone
10533509,Huawei Technologies
10533509,Huawei Technologies
10533509,Argus Technologies Ltd.
10533509,AT&T
10533509,AT&T
10533509,TELUS
105360302,Star Beverages Aust.
105366089,Anywhere Festival
105366089,DJ
105370747,IBM
105370747,Monash University
105370747,IBM
105380784,Hachette Australia Books
105380784,William Buck
105380784,Eacotts
105411789,Ria Financial
105411789,Billabong Group - Australia
105411789,Billabong Group - Australia
105411789,Billabong Group - Australia
105411789,Media Bootcamp
105411789,Billabong Group - Australia
105411789,Macarenas
105411789,Billabong Group - Australia
105562368,Australian Institute for Bioengineering and Nanotechnology AIBN
105562368,The University of Queensland
105562368,Purdue University
105580449,Gold Coast 2018 Commonwealth Games Corporation
105580449,Museum of Brisbane
105580449,Backbone Youth Arts
105580449,Museum of Brisbane
105580449,Green Cross Australia
105580449,Brisbane City Council
105580449,Thomsons Online Benefits
105580449,Mitie
105580449,ourbrisbane.com
105580449,Brisbane Festival
105580449,Brisbane Powerhouse
105602024,CPA Australia
105602024,Zoos Victoria
105602024,Infoxchange
105602024,NEC Australia
105602024,Cevian
105602024,CDC Software
105626910,GHD
105626910,GHD
105626910,GHD
105626910,GHD
105641404,Vicinity Marketing
105641404,Camplify
105641404,ReachLocal Australia & New Zealand
105641404,Sensis
105641404,Telstra
105641404,Redback Solutions
105641404,Singularity University
10568997,Salmat
10568997,PMI Melbourne Chapter
10568997,PMI Melbourne Chapter
10568997,Jazz (previously known as Mobilink)
10568997,Jazz (previously known as Mobilink)
10568997,LMKR
10568997,NADRA
10568997,LMKR
10568997,PMI Melbourne Chapter
10568997,Telstra
10568997,Telstra
10568997,Salmat
105751,Rosewall Neighbourhood Centre
105751,The Gordon
105751,Rosewall Neighbourhood Centre
105751,Diversitat
105751,Royal Australasian College of Surgeons
105751,RMIT University
105751,RMIT University
105751,RMIT University
105751,RMIT University
105751,RMIT University
105751,The Gordon
105754596,Commonwealth Bank
105754596,Commonwealth Bank
105754596,Commonwealth Bank
105754596,Commonwealth Bank
105762456,HCF Australia
105762456,Helloworld Travel Limited
105762456,Helloworld Travel Limited
105762456,Commonwealth Bank
105762456,Bankwest
105762456,Tyco Fire Products
105764844,World Tourism Forum Lucerne
105764844,China Australia Millennial Project
105764844,Spotless Group
105789121,Cooper Grace Ward
105789121,SBC IT
105798628,Seven Affiliate Sales
1058391,University of Melbourne
105859854,ThomsonAdsett
105859854,IDL
105859854,ThomsonAdsett
105893360,Actionable.co
105893360,Development Beyond Learning (DBL)
105893360,lululemon
105893360,Douglas Elliman Property Management
105893360,ST. HILDAS AND ST. HUGHS SCHOOL
105893360,Rye Country Day School
105893360,Rye Country Day School
105952547,SEEK
105952547,EY
105952547,GE Capital
105952547,GE Capital
105952547,WikiJob
105952547,WikiJob
105952547,HCL Technologies
10601511,Honore Advisory
10601511,BoardsGlobal
10601511,Manpower
